"Date","Tank","Treatment","Salinity","Temperature","pH","CO2","pCO2","HCO3","CO3","DIC","TA","Aragonite.Sat"
20190102,"20190102_TANK3","amb",28.2,11.49,7.68488718559808,39.1357533355431,904.060962421789,1868.64068694425,49.6005002362204,1957.37694051601,1992.375713,0.770144266902868
20190102,"20190102_TANK4","amb",28.27,11.45,7.65341142841304,42.3138875836607,976.603927685604,1878.79124154267,46.3967753044861,1967.50190443082,1994.562195,0.720232409588172
20190102,"20190102_TANK5","low-variable",28.32,11.36,6.80226256114976,321.552183581817,7402.12201939925,2008.03759956158,6.97073183122374,2336.56051497462,2025.19709,0.108172914635431
20190102,"20190102_TANK6","amb",28.27,11.39,7.3263315128732,92.7912124232126,2137.47232702494,1937.18283330994,22.4740895213127,2052.44813525447,1993.265048,0.348815725539443
20190103,"20190103_TANK1","low",28.42,11.46,6.91488359600066,243.312032613197,5622.37669486451,1976.48528418535,8.95080396174967,2228.7481207603,1998.691933,0.138912477053373
20190103,"20190103_TANK1","low",28.42,11.46,6.91488359600066,243.783840485674,5633.27933170272,1980.31789906633,8.96816052126215,2233.06990007327,2002.559261,0.139181843099742
20190103,"20190103_TANK2","low",28.42,11.44,6.84240543027761,290.147232833511,6700.32032278689,1993.66909263798,7.63491369402491,2291.45123916552,2012.53205,0.118484033356819
20190103,"20190103_TANK2","low",28.42,11.44,6.84240543027761,289.87301109809,6693.98759395736,1991.78485134055,7.6276978427396,2289.28556028138,2010.633377,0.118372052632655
20190103,"20190103_TANK3","amb",28.41,11.48,7.68144247223825,39.3632814753141,910.11338483506,1868.73276246899,49.4651586100265,1957.56120255433,1992.258576,0.767732852728598
20190103,"20190103_TANK3","amb",28.41,11.48,7.68144247223825,39.4128890028576,911.260358416136,1871.08783065719,49.5274970159272,1960.02821667597,1994.738321,0.768700387121321
20190103,"20190103_TANK4","amb",28.42,11.46,7.67454156222878,40.0476362484201,925.390153738676,1870.53075064177,48.7069885245732,1959.28537541476,1992.175652,0.755910693014003
20190103,"20190103_TANK4","amb",28.42,11.46,7.67454156222878,40.0451002542372,925.331553701472,1870.41230032742,48.7039041817472,1959.16130476341,1992.051033,0.755862825391845
20190103,"20190103_TANK5","low-variable",28.42,11.43,6.88496985041947,264.585914843692,6108.04458535083,2004.73586531708,8.46453304696592,2277.78631320774,2025.660455,0.131355106211035
20190103,"20190103_TANK5","low-variable",28.42,11.43,6.88496985041947,261.103920426231,6027.6597258509,1978.35320962794,8.35313839153479,2247.81026844571,1999.05501,0.129626451279415
20190103,"20190103_TANK6","amb",28.39,11.47,7.70101126917844,38.8777138141736,898.493213507345,1929.8192793796,53.3874655224036,2022.08445871618,2062.212287,0.828617492292365
20190103,"20190103_TANK6","amb",28.39,11.47,7.70101126917844,37.8291925409115,874.261011002303,1877.77258297012,51.9476202271439,1967.54939573817,2007.2859,0.806269905903452
NA,"20190106_TANK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1957.48483,NA
NA,"20190106_TANK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1952.678907,NA
NA,"20190106_TANK4",NA,NA,NA,NA,NA,NA,NA,NA,NA,1942.978725,NA
NA,"20190106_TANK4",NA,NA,NA,NA,NA,NA,NA,NA,NA,1940.569001,NA
NA,"20190106_TANK5",NA,NA,NA,NA,NA,NA,NA,NA,NA,1951.836128,NA
NA,"20190106_TANK5",NA,NA,NA,NA,NA,NA,NA,NA,NA,1951.990538,NA
NA,"20190106_TANK6",NA,NA,NA,NA,NA,NA,NA,NA,NA,1942.104249,NA
NA,"20190106_TANK6",NA,NA,NA,NA,NA,NA,NA,NA,NA,1941.441562,NA
20190114,"20190114_TANK1","low",28.61,12.34,6.9049295946834,248.785592276918,5920.07128371402,2023.14725116561,9.31332934678446,2281.24617278931,2046.133209,0.144840723060041
20190114,"20190114_TANK1","low",28.61,12.34,6.9049295946834,244.979839809778,5829.50792343566,1992.19852309802,9.17086038057776,2246.34922328838,2014.899543,0.142625048373725
20190114,"20190114_TANK2","low",28.82,12.14,6.83191244745666,NA,NA,NA,NA,NA,NA,NA
20190114,"20190114_TANK3","amb",28.85,12.1,7.64486176143943,NA,NA,NA,NA,NA,NA,NA
20190114,"20190114_TANK4","amb",28.81,12.1,7.62896063774583,44.1901289391132,1044.68019202997,1896.60265554931,46.0576996174361,1986.85048410586,2011.512114,0.715509286097795
20190114,"20190114_TANK4","amb",28.81,12.1,7.62896063774583,44.1534096907078,1043.81212406759,1895.02669671626,46.0194285339648,1985.19953494093,2009.859613,0.714914742387619
20190114,"20190114_TANK5","low-variable",28.75,12,6.79205034676335,323.060747381334,7610.52583148323,2012.12658137124,7.07454296293038,2342.26187171551,2029.546299,0.109886410782067
20190114,"20190114_TANK5","low-variable",28.75,12,6.79205034676335,319.191881465472,7519.3819698504,1988.03003602437,6.98982063636657,2314.21173812621,2005.280309,0.108570448404287
20190114,"20190114_TANK5","low-variable",28.75,12,6.79205034676335,323.749931457767,7626.76183624084,2016.41904218825,7.0896350544259,2347.25860870044,2033.868944,0.110120830980563
20190114,"20190114_TANK5","low-variable",28.75,12,6.79205034676335,322.093267913126,7587.73366418955,2006.10080705266,7.05335662222179,2335.24743158801,2023.478152,0.109557330734031
20190114,"20190114_TANK6","amb",28.83,12,7.64924474105687,41.0252537067153,966.869295315981,1840.81658047196,46.6826996883804,1928.52453386706,1957.951426,0.724987320192091
20190114,"20190114_TANK6","amb",28.83,12,7.64924474105687,42.2323903892185,995.318800000097,1894.98119907331,48.0563023877075,1985.26989185024,2014.86325,0.746319517058195
20190114,"20190114_TANK6","amb",28.83,12,7.64924474105687,42.1534266665961,993.457801926312,1891.43807095768,47.9664494455219,1981.5579470698,2011.140416,0.744924091253747
20190114,"20190114_TANK6","amb",28.83,12,7.64924474105687,41.1608041937508,970.063916002591,1846.89877525398,46.8369427973719,1934.8965222451,1964.342107,0.727382732175381
NA,"20190121_TANK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2005.967559,NA
NA,"20190121_TANK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,2000.384148,NA
NA,"20190121_TANK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990.356735,NA
NA,"20190121_TANK4",NA,NA,NA,NA,NA,NA,NA,NA,NA,1961.112651,NA
NA,"20190121_TANK5",NA,NA,NA,NA,NA,NA,NA,NA,NA,2002.056744,NA
NA,"20190121_TANK6",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992.237832,NA
20190127,"20190127_TANK1","low",28.95,11.94,6.95736864120429,NA,NA,NA,NA,NA,NA,NA
20190127,"20190127_TANK2","low",28.94,12.02,6.88053004641747,NA,NA,NA,NA,NA,NA,NA
20190127,"20190127_TANK3","amb",28.95,12.12,7.68333435827625,NA,NA,NA,NA,NA,NA,NA
20190127,"20190127_TANK4","amb",28.95,12.01,7.68124218142439,NA,NA,NA,NA,NA,NA,NA
20190127,"20190127_TANK5","low-variable",28.93,11.96,7.52280820650413,NA,NA,NA,NA,NA,NA,NA
20190127,"20190127_TANK6","amb",28.94,12,7.70434958098732,NA,NA,NA,NA,NA,NA,NA
